eta_left,bias,Delta_I_fwd,Delta_I_bwd,Delta_I_odd,Delta_I_even,A_fwd,A_bwd
0.5,0.05,-2.6768843894225264e-05,-2.671848260515572e-05,-2.5180644534772423e-08,-2.674366324969049e-05,-0.0006628567089762357,-0.0006567124272402656
0.5,0.1,-0.00010360915043900604,-0.00010307194394241354,-2.686032482962508e-07,-0.00010334054719070979,-0.0012868769648949577,-0.001261651661080936
0.5,0.2,-0.0003623736183604592,-0.00035532654154436794,-3.5235384080456456e-06,-0.0003588500799524136,-0.0022652084690797255,-0.0021616928165975363
0.5,0.3,-0.0006626294758313306,-0.0006347883889119277,-1.3920543459701451e-05,-0.0006487089323716291,-0.002787125505574961,-0.0025751935114442424
0.5,0.4,-0.000929811582354112,-0.000870935914473403,-2.9437833940354485e-05,-0.0009003737484137575,-0.0029725891464158116,-0.002670374452450978
0.65,0.05,-2.672483013675675e-05,-2.6507775718161847e-05,-1.0852720929745152e-07,-2.6616302927459298e-05,-0.000660472156022582,-0.000652855781723319
0.65,0.1,-0.0001007154937537405,-0.00010198504675804076,6.347765021501306e-07,-0.00010135027025589063,-0.0012466678484388783,-0.0012531363367948034
0.65,0.2,-0.0003029161085300325,-0.0003658999961591025,3.149194381453502e-05,-0.0003344080523445675,-0.001887801071819467,-0.002239128225676564
0.65,0.3,-0.00044754128116726577,-0.0007119117044524642,0.00013218521164259922,-0.000579726492809865,-0.0018856839717626007,-0.002903397066673155
0.65,0.4,-0.0005309253747045051,-0.0010517947764269175,0.00026043470086120624,-0.0007913600755657113,-0.0017097653884472787,-0.003235318584176328
0.8,0.05,-2.6309446152533722e-05,-2.6046382867860735e-05,-1.3153164233649373e-07,-2.6177914510197228e-05,-0.0006489048361140774,-0.000642747683837292
0.8,0.1,-9.164654657226046e-05,-9.75608249080967e-05,2.9571391679181214e-06,-9.460368574017858e-05,-0.0011306908757093808,-0.0012032684005762065
0.8,0.2,-0.00018160257526270152,-0.0003340689285530607,7.623317664517959e-05,-0.0002578357519078811,-0.0011313284223270967,-0.0020606291796723313
0.8,0.3,-0.00010785363962988181,-0.0006227805065266018,0.00025746343344836,-0.0003653170730782418,-0.00045801774882179777,-0.0025765933561124267
0.8,0.4,3.7096600394082024e-05,-0.0008793390988907079,0.000458217849642395,-0.00042112124924831296,0.0001213187404601887,-0.0027630273140144615
